timestamp,band,channel,center_hz,sample_rate,nsamp,rel_power_dbfs
1756601128,2.4GHz,1,2412000000,20000000,2000000,-38.90
1756601129,2.4GHz,2,2417000000,20000000,2000000,-41.56
1756601130,2.4GHz,3,2422000000,20000000,2000000,-40.78
1756601130,2.4GHz,4,2427000000,20000000,2000000,-41.23
1756601131,2.4GHz,5,2432000000,20000000,2000000,-40.91
1756601132,2.4GHz,6,2437000000,20000000,2000000,-38.79
1756601132,2.4GHz,7,2442000000,20000000,2000000,-41.06
1756601133,2.4GHz,8,2447000000,20000000,2000000,-40.79
1756601134,2.4GHz,9,2452000000,20000000,2000000,-39.16
1756601134,2.4GHz,10,2457000000,20000000,2000000,-41.10
1756601135,2.4GHz,11,2462000000,20000000,2000000,-41.52
1756601136,2.4GHz,12,2467000000,20000000,2000000,-39.45
1756601142,2.4GHz,13,2472000000,20000000,2000000,-40.83
