timestamp,band,channel,center_hz,sample_rate,nsamp,rel_power_dbfs
1756606343,2.4GHz,1,2412000000,20000000,4000000,-25.60
1756606344,2.4GHz,2,2417000000,20000000,4000000,-25.85
1756606344,2.4GHz,3,2422000000,20000000,4000000,-25.81
1756606345,2.4GHz,4,2427000000,20000000,4000000,-25.24
1756606346,2.4GHz,5,2432000000,20000000,4000000,-25.39
1756606347,2.4GHz,6,2437000000,20000000,4000000,-25.23
1756606348,2.4GHz,7,2442000000,20000000,4000000,-25.47
1756606349,2.4GHz,8,2447000000,20000000,4000000,-24.38
1756606350,2.4GHz,9,2452000000,20000000,4000000,-25.36
1756606350,2.4GHz,10,2457000000,20000000,4000000,-24.62
1756606351,2.4GHz,11,2462000000,20000000,4000000,-25.13
1756606352,2.4GHz,12,2467000000,20000000,4000000,-24.69
1756606353,2.4GHz,13,2472000000,20000000,4000000,-24.19
